"id_car","post_code_mov","id_cluster","nm_nome_cleaned","conteggio","id_macro_prod_iss","te_macro_prod_iss","id_fam_prod_iss","te_fam_prod_iss","id_ctg_2","te_ctg_2","id_macro_ctg_2","te_macro_ctg_2"
"2BA02675B512A5066F85BF20BC8D42DF","63074","0000002682","BATUFFOLI COCCOLE","1","1","Classic","1","Classic e Rateali","30","GRANDE DISTRIBUZIONE NON ALIMENTARE","7","RETAIL"
"4CC4E088A647E67BD0B34BB6A778DD81","63074","0000001076","FARMACIA TOMASSINI","5","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"219EF8D78DDE57FE69039BFE4C0C974F","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"28423D20739CD2B7688D7A02A016AD92","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"2A9FCC7F4FE74AAE2DAD6310FA0FDD37","63074","0000001076","FARMACIA TOMASSINI","10","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"3DDA7B0F7644DF4E9BA3FC2D8DB100D3","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"12CBCF3044693E9EF01F47EB574FE76B","63074","0000001076","FARMACIA TOMASSINI","2","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"165EFD5F2B780A0BC94CB9F7FD419D5E","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"267A5D6A20286D9D29B47C43790AE4F3","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"395D6A3A35FF92C01ECD32469AE3FEE3","63074","0000000090","FARMACIA LAURI","5","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"395D6A3A35FF92C01ECD32469AE3FEE3","63074","0000001076","FARMACIA TOMASSINI","2","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"528B50F09EA4612F1466FD8FCAC4F012","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"727A755A7CB97E0B8CDF3592F2ECDB5C","63074","0000001076","FARMACIA TOMASSINI","8","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"A9FEA2DA8A469C0F980474C3629182BC","63074","0000000090","FARMACIA LAURI","2","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"B51EA7F02A6B33716510CDA48F088DC9","63074","0000000090","FARMACIA LAURI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"E0478DFBDC1C22275324C4FF2A5669FF","63074","0000000090","FARMACIA LAURI","5","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"3F6A70D4D34DD2210A833CE156003932","63074","0000002682","BATUFFOLI COCCOLE","1","1","Classic","1","Classic e Rateali","30","GRANDE DISTRIBUZIONE NON ALIMENTARE","7","RETAIL"
"3F6A70D4D34DD2210A833CE156003932","63074","0000000090","FARMACIA LAURI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"829BC16EA9E65EAC00995E7990DCA70B","63074","0000000090","FARMACIA LAURI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"D0B34A10E04F31851BFE28C0A0E24233","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"D8C26CEA6E5CC032849DD85EFF48D5C3","63074","0000001076","FARMACIA TOMASSINI","2","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"03BD0B53068C395DA489950B7477A3F1","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"0DFD06B0D7329AF1D8184044E031197F","63074","0000000090","FARMACIA LAURI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"5B9223B963209F62D6AF120A94294D06","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"D95D728B4180985FF663F5910628200D","63074","0000001076","FARMACIA TOMASSINI","3","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"DC5CC262389B840A0AEE7362787694B2","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"03C72728E05F4A7BABACF9089F6D844F","63074","0000000090","FARMACIA LAURI","3","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"B14B95BFC57201038584854683DA0CB2","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"B14B95BFC57201038584854683DA0CB2","63074","0000000613","URBAN ESSENCE","1","1","Classic","1","Classic e Rateali","35","PROFUMERIE","7","RETAIL"
"E4155D7602A8728C2FE4854D64D54AEB","63074","0000000090","FARMACIA LAURI","4","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
